Num_words,Num_chars,Hyphen,Entropy_sdsu,Entropy_nosdsu,Entropy_nosu,Tranco_Rank,Longest_word_ratio,Typos,Freenom_TLD,Other_numbers,Subdomain levels,Label
5,17,0,3.381580488309164,3.2359263506290334,3.2359263506290334,0,0.2777777777777778,0,0,0,0,0
6,28,0,3.5836169753972325,3.5328786893420308,3.5328786893420308,0,0.3103448275862069,0,0,0,0,0
4,23,0,3.5383105956150054,2.2516291673878226,3.4548223999466066,1,0.44,0,0,0,1,1
5,15,0,3.2402239289418517,3.0220552088742,3.0220552088742,0,0.3125,0,0,0,0,0
7,22,0,3.6897037321995465,3.452819531114783,3.452819531114783,0,0.2608695652173913,0,0,0,0,1
5,26,0,3.386842188131012,1.7924812503605778,3.1018812234760182,0,0.3928571428571429,0,0,0,1,1
7,17,0,3.452819531114783,2.8073549220576046,3.0957952550009344,0,0.21052631578947367,0,0,0,1,1
6,17,0,3.4104172527605203,3.323231428797621,3.323231428797621,0,0.2222222222222222,0,0,0,0,0
6,21,0,3.4585250192341497,3.3921472236645345,3.3921472236645345,0,0.3636363636363637,0,0,0,0,0
7,18,0,3.5724694587701364,3.2516291673878226,3.2516291673878226,0,0.21052631578947367,0,0,0,0,1
6,17,0,3.3371753411230767,3.323231428797621,3.323231428797621,0,0.2222222222222222,0,0,0,0,0
7,27,0,3.6612262562697886,3.463280517810811,3.463280517810811,0,0.17857142857142858,0,0,0,0,1
4,14,0,3.3927474104487847,3.0,3.0,0,0.26666666666666666,0,0,0,0,1
6,27,0,3.7483286603655737,3.182005814760214,3.7489948035250964,0,0.2413793103448276,0,0,0,1,1
3,17,0,3.5,3.0957952550009344,3.0957952550009344,0,0.6111111111111112,0,0,0,0,0
5,18,0,3.5032583347756456,3.373557262275185,3.373557262275185,0,0.42105263157894735,0,0,0,0,0
8,18,0,3.4548223999466066,1.9219280948873625,3.4182958340544896,1,0.2,0,0,0,1,1
5,15,0,3.182005814760214,2.94770277922009,2.94770277922009,0,0.25,0,0,0,0,1
11,47,1,4.266977196801592,2.9219280948873623,4.175070520364182,1,0.16326530612244894,0,0,0,2,1
5,18,0,3.350209029099897,3.240223928941852,3.240223928941852,0,0.3157894736842105,0,0,0,0,0
6,17,0,3.3371753411230767,3.182005814760214,3.182005814760214,0,0.3333333333333333,0,0,0,0,0
6,20,0,3.446439344671015,3.4548223999466066,3.4548223999466066,0,0.2380952380952381,0,0,0,0,0
6,18,0,3.6835423624332315,3.640223928941851,3.640223928941851,0,0.3157894736842105,0,0,0,0,0
7,21,0,3.7464393446710162,2.4056390622295662,3.3232314287976203,1,0.21739130434782608,0,0,0,1,1
6,19,0,3.576617644908667,3.577819531114783,3.577819531114783,0,0.25,0,0,0,0,0
5,14,1,3.2359263506290334,3.0957952550009336,3.0957952550009336,0,0.26666666666666666,0,0,0,0,0
6,20,0,3.5841837197791886,3.4992275471326937,3.4992275471326937,0,0.3809523809523809,0,0,0,0,0
7,21,0,3.115834092163221,2.251629167387823,3.039148671903072,1,0.21739130434782608,0,0,0,2,1
9,27,0,3.8634651896016456,2.94770277922009,3.546439344671015,0,0.13793103448275862,0,0,0,2,1
12,44,0,3.7617978103444125,3.2414460711655217,3.637927179040213,0,0.2391304347826087,0,0,0,2,1
6,20,0,3.6464393446710153,3.5304930567574826,3.5304930567574826,0,0.3333333333333333,0,0,0,0,0
8,23,0,3.3564924137968237,3.1751231351134614,3.1751231351134614,0,0.16666666666666666,0,0,0,0,1
5,15,0,3.32323142879762,3.2516291673878226,3.2516291673878226,0,0.3125,0,0,0,0,0
4,20,0,3.146439344671016,3.1751231351134614,3.1751231351134614,0,0.3809523809523809,0,0,0,0,0
5,17,0,3.381580488309164,3.02716911844062,3.02716911844062,0,0.3333333333333333,0,0,0,0,0
10,31,0,3.8280729963885087,3.4565647621309536,3.7638561897747236,0,0.15151515151515152,0,0,0,1,1
7,20,0,3.3921472236645345,2.584962500721156,3.0957952550009344,0,0.18181818181818185,0,0,0,1,1
8,26,1,4.0536606896881855,1.0,4.004886164091841,1,0.17857142857142858,0,0,0,2,1
7,23,0,3.9139770731827523,2.3219280948873617,3.82687488186464,1,0.24,0,0,0,2,1
8,28,1,3.602316558505553,2.0,3.636842188131012,1,0.26666666666666666,0,0,0,2,1
13,41,0,4.024857104535834,3.0220552088742005,3.8820488277869583,0,0.11627906976744184,0,0,0,1,1
5,16,0,3.375,3.2389012566026314,3.2389012566026314,0,0.35294117647058826,0,0,0,0,0
5,29,0,3.3376777797008614,2.5,3.3342094594480485,1,0.3548387096774194,0,0,0,2,1
7,31,0,3.7285021157426255,3.4316235658474312,3.5383105956150054,0,0.3333333333333333,0,0,0,1,1
8,19,0,3.4548223999466066,2.0,3.2516291673878226,1,0.19047619047619047,0,0,0,2,1
7,23,0,3.480083695187448,3.446439344671015,3.446439344671015,0,0.2916666666666667,0,0,0,0,0
8,22,1,3.653756708287001,2.75,3.625,0,0.25,0,0,0,1,1
5,15,0,3.139572261986723,2.94770277922009,2.94770277922009,0,0.375,0,0,0,0,0
10,30,0,3.994680368408909,2.0,3.902174814211728,1,0.1875,0,0,0,3,1
6,17,0,3.5724694587701364,3.52164063634332,3.52164063634332,0,0.2222222222222222,0,0,0,0,0
6,22,0,3.572623663895163,3.5280643115840498,3.5280643115840498,0,0.3043478260869565,0,0,0,0,0
10,31,0,3.6245186549588992,2.9219280948873623,3.3087513512471665,0,0.18181818181818185,0,0,0,2,1
3,17,0,3.2639334294856344,3.182005814760214,3.182005814760214,0,0.6111111111111112,0,0,0,0,0
9,30,0,3.7673757978160416,3.327819531114783,3.4992275417233563,0,0.25,0,0,0,1,1
6,18,0,3.292770193936991,1.584962500721156,2.8553885422075336,1,0.2,0,0,0,1,1
6,21,0,3.6537567082870015,3.4613201402110083,3.4613201402110083,0,0.2727272727272727,0,0,0,0,0
6,20,0,3.884183719779189,3.5724694587701364,3.5724694587701364,0,0.2380952380952381,0,0,0,0,0
10,27,1,3.8441065448145375,2.0,3.820888851350188,1,0.13793103448275862,0,0,0,1,1
6,24,0,3.5383105956150063,3.0957952550009344,3.32323142879762,0,0.4230769230769231,0,0,1,1,1
11,29,0,4.012188403968661,2.584962500721156,3.882045108136863,0,0.12903225806451613,0,0,0,1,1
5,14,1,3.5465935642949384,3.0,3.0,0,0.26666666666666666,0,0,0,0,0
9,27,0,3.3044704851734634,1.584962500721156,3.3230741894285685,1,0.27586206896551724,0,0,0,1,1
5,17,0,3.4992275471326937,3.378783493486176,3.378783493486176,0,0.3888888888888889,0,0,0,0,0
6,17,0,3.3371753411230776,3.2359263506290334,3.2359263506290334,0,0.2222222222222222,0,0,0,0,0
5,17,0,3.5724694587701364,2.75,3.6402239289418516,1,0.42105263157894735,0,0,0,1,1
8,23,0,3.553763114472245,2.281036112553424,3.2359263506290334,0,0.16,0,0,0,1,1
7,31,0,3.672997271796529,2.7321588913645707,3.5337712560645564,0,0.3333333333333333,0,0,0,1,1
6,19,0,3.5368867237421693,3.452819531114783,3.452819531114783,0,0.3,0,0,0,0,0
3,17,0,3.2639334294856344,3.182005814760214,3.182005814760214,0,0.6111111111111112,0,0,0,0,0
6,20,0,3.5464393446710165,2.94770277922009,3.616874605956223,1,0.2727272727272727,0,0,0,1,1
8,28,1,4.012188403968661,1.584962500721156,3.9690016298759936,1,0.3,0,0,0,1,1
6,19,0,3.721611723969904,3.625,3.625,0,0.25,0,0,0,0,0
6,18,0,3.4193819456463714,3.373557262275185,3.373557262275185,0,0.21052631578947367,0,0,0,0,0
4,26,0,3.5132696895151074,2.7254805569978684,3.4086949695628417,1,0.3928571428571429,0,0,0,1,1
6,20,0,3.4841837197791885,3.4548223999466066,3.4548223999466066,0,0.2857142857142857,0,0,0,0,0
9,26,0,3.584012370211935,1.3709505944546687,3.25,0,0.17857142857142858,0,0,0,2,1
9,24,0,3.6978458230844122,2.646439344671016,3.4565647621309536,0,0.15384615384615385,0,0,0,1,1
6,21,0,3.6897037321995474,3.576617644908667,3.576617644908667,0,0.3181818181818182,0,0,0,0,0
7,29,0,3.6158175946759337,2.94770277922009,3.4086949695628417,0,0.3548387096774194,0,0,0,1,1
6,17,0,3.5724694587701364,3.521640636343319,3.521640636343319,0,0.2777777777777778,0,0,0,0,0
6,19,0,3.5766176449086675,3.373557262275185,3.373557262275185,0,0.25,0,0,0,0,0
5,17,0,3.4548223999466066,3.3787834934861767,3.3787834934861767,0,0.3888888888888889,0,0,0,0,0
6,21,0,3.6537567082870006,3.4565647621309536,3.5304930567574826,1,0.39130434782608703,0,0,0,1,1
8,21,0,3.4713544870139303,2.128085278891395,2.8553885422075336,0,0.21739130434782608,0,0,0,1,1
5,18,0,3.4193819456463714,3.373557262275185,3.373557262275185,0,0.3157894736842105,0,0,0,0,0
6,16,0,3.327819531114783,3.039148671903072,3.039148671903072,0,0.2352941176470588,0,0,0,0,0
6,19,0,3.681880802803404,3.5,3.5,0,0.25,0,0,0,0,0
6,19,0,3.725480556997869,2.2516291673878226,3.546593564294939,0,0.2857142857142857,0,0,0,1,1
7,19,0,3.4548223999466066,1.0,3.188721875540867,1,0.19047619047619047,0,0,0,2,1
6,19,0,3.836591668108978,2.2516291673878226,3.546593564294939,0,0.2857142857142857,0,0,0,1,1
8,22,1,3.5585186130489057,3.2389012566026314,3.327819531114783,0,0.16666666666666666,0,0,0,1,1
8,23,0,3.5351745656359026,2.6416041678685933,3.3248629576173574,0,0.16,0,0,0,1,1
6,21,0,3.6304126608739984,3.5724312513221195,3.5724312513221195,0,0.3181818181818182,0,0,0,0,0
6,18,0,3.614369445886757,3.5898980954642865,3.5898980954642865,0,0.2631578947368421,0,0,0,0,0
6,21,0,3.4992275417233567,3.5724312513221195,3.5724312513221195,0,0.2727272727272727,0,0,0,0,0
6,18,0,3.683542362433232,3.625,3.625,0,0.42105263157894735,0,0,0,0,0
7,22,0,3.663532754804254,3.576617644908667,3.576617644908667,0,0.21739130434782608,0,0,0,0,0
6,20,0,3.6841837197791882,3.625,3.625,0,0.2380952380952381,0,0,0,0,0
8,29,0,3.95822916866988,2.5216406363433186,3.845350936622435,1,0.2258064516129032,0,0,0,2,1
7,17,0,3.75,2.0,3.459431618637298,1,0.21052631578947367,0,0,0,1,1
6,34,0,3.5262106419146826,2.7534343861887853,3.3728786893420306,0,0.3055555555555556,0,0,0,1,1
3,18,0,3.3082708345352603,3.0062389286533886,3.0062389286533886,0,0.5789473684210527,0,0,0,0,0
6,16,0,3.375,2.251629167387823,3.2389012566026314,1,0.2222222222222222,0,0,0,1,1
5,13,0,3.0850551027564768,2.9219280948873614,2.9219280948873614,0,0.2857142857142857,0,0,0,0,0
5,16,0,2.952819531114783,2.6258145836939115,2.6258145836939115,0,0.29411764705882354,0,0,0,0,0
6,18,0,3.614369445886757,3.6402239289418516,3.6402239289418516,0,0.2631578947368421,0,0,0,0,0
6,21,0,3.7256507561120933,3.614369445886757,3.614369445886757,0,0.3181818181818182,0,0,0,0,0
6,18,0,3.4193819456463714,3.32323142879762,3.32323142879762,0,0.21052631578947367,0,0,0,0,0
9,23,0,3.788754913993503,1.5,3.614369445886757,0,0.16,0,0,0,1,1
8,36,0,3.6061531948797434,2.2516291673878226,3.4117518537749354,0,0.2894736842105263,0,0,0,1,1
5,17,0,3.381580488309164,3.3248629576173574,3.3248629576173574,0,0.3888888888888889,0,0,0,0,0
6,17,0,3.4548223999466066,3.3787834934861767,3.3787834934861767,0,0.2222222222222222,0,0,0,0,0
7,27,0,3.690260390968384,3.350209029099897,3.463280517810812,0,0.206896551724138,0,0,0,1,1
6,17,0,3.4548223999466066,3.3787834934861767,3.3787834934861767,0,0.3333333333333333,0,0,0,0,0
10,32,0,3.735666068102444,3.5726236638951634,3.5654483718208247,0,0.17647058823529413,0,0,0,1,1
3,18,0,3.281036112553424,3.1898980954642875,3.1898980954642875,0,0.5789473684210527,0,0,0,0,0
8,25,0,3.375814583693912,3.1898980954642875,3.326360407952695,0,0.1851851851851852,0,0,0,1,1
5,28,0,3.5743577621291283,3.300559092390955,3.42511855035714,0,0.3666666666666665,0,0,0,1,1
5,16,0,3.2806390622295662,3.2389012566026314,3.2389012566026314,0,0.35294117647058826,0,0,0,0,0
6,18,0,3.4613201402110088,3.3232314287976212,3.3232314287976212,0,0.21052631578947367,0,0,0,0,0
3,17,0,3.327819531114783,3.0957952550009344,3.0957952550009344,0,0.6111111111111112,0,0,0,0,0
5,11,0,3.0957952550009344,2.94770277922009,2.94770277922009,0,0.3333333333333333,0,0,0,0,1
9,25,0,3.5503407095463886,2.251629167387823,3.373557262275185,0,0.14814814814814814,0,0,0,2,1
5,19,0,3.4316235658474312,3.3927474104487847,3.3927474104487847,0,0.3,0,0,0,0,0
5,15,0,3.182005814760214,1.0,3.0957952550009344,1,0.2352941176470588,0,0,0,2,1
4,20,0,3.2841837197791888,3.039148671903072,3.1751231351134614,0,0.3636363636363637,0,0,0,1,1
9,25,0,3.5160276412662297,2.2516291673878226,3.3232314287976203,0,0.14814814814814814,0,0,0,2,1
5,16,0,3.375,3.2389012566026314,3.2389012566026314,0,0.35294117647058826,0,0,0,0,0
5,19,0,3.4713544870139303,3.2359263506290334,3.2359263506290334,0,0.3,0,0,0,0,0
6,18,0,3.4548223999466066,2.94770277922009,3.0220552088742,0,0.2,0,0,0,1,1
5,16,0,3.077819531114783,3.026986833359288,3.026986833359288,0,0.35294117647058826,0,0,0,0,0
3,17,0,3.2806390622295662,3.0957952550009344,3.0957952550009344,0,0.6111111111111112,0,0,0,0,0
6,18,0,3.836591668108978,3.5068905956085183,3.5068905956085183,0,0.21052631578947367,0,0,0,0,0
6,18,1,3.4548223999466066,2.0,3.2516291673878226,0,0.2,0,0,0,1,1
6,28,0,3.7089660826946234,3.522055208874201,3.522055208874201,0,0.3448275862068966,0,0,0,0,0
5,15,0,3.32323142879762,3.2516291673878226,3.2516291673878226,0,0.3125,0,0,0,0,0
8,24,0,3.3273399000835084,1.3709505944546687,2.950212064914748,0,0.15384615384615385,0,0,0,2,1
12,35,0,3.741729296672175,3.3787834934861767,3.6536606896881847,0,0.10810810810810813,0,0,0,2,1
4,13,0,3.026986833359288,1.9219280948873625,2.9219280948873623,1,0.3333333333333333,0,0,0,1,1
10,29,0,3.4360119290361792,1.521928094887362,3.1219280948873616,0,0.16129032258064516,0,0,0,1,1
5,16,0,3.3735572622751846,2.9219280948873623,2.9219280948873623,0,0.2352941176470588,0,0,0,0,0
6,19,0,3.3921472236645345,3.2389012566026314,3.2389012566026314,0,0.2,0,0,0,0,1
6,24,0,3.588354347173233,2.251629167387823,3.3082708345352603,1,0.2692307692307692,0,0,0,1,1
6,24,1,3.4642346527265664,3.127986806877676,3.127986806877676,0,0.36,0,0,0,0,1
5,17,0,3.4548223999466066,3.3787834934861767,3.3787834934861767,0,0.2777777777777778,0,0,0,0,0
6,22,0,3.5383105956150063,3.4613201402110083,3.4613201402110083,0,0.2608695652173913,0,0,0,0,0
7,25,0,3.8492239123906247,3.3927474104487847,3.6835423624332315,0,0.2222222222222222,0,0,0,2,1
6,18,0,3.5724694587701364,2.3219280948873617,3.4182958340544887,1,0.25,0,0,0,1,1
7,27,0,3.642371448743902,1.584962500721156,3.4273334938982645,1,0.3793103448275862,0,0,0,1,1
3,17,0,3.3371753411230776,3.2359263506290334,3.2359263506290334,0,0.4444444444444444,0,0,0,0,1
5,15,0,3.506890595608519,3.2776134368191165,3.2776134368191165,0,0.25,0,0,0,0,0
5,13,0,3.2389012566026314,2.9219280948873623,2.9219280948873623,0,0.2857142857142857,0,0,0,0,0
5,18,0,3.4193819456463714,3.2776134368191165,3.2776134368191165,0,0.3684210526315789,0,0,0,0,0
7,37,0,3.726737473412386,1.584962500721156,3.5645404777369887,1,0.28205128205128205,0,0,0,3,1
11,38,0,3.797020431713804,3.125,3.7264741182543752,0,0.15,0,0,0,2,1
4,10,0,2.9219280948873623,1.584962500721156,3.0,0,0.3333333333333333,0,0,0,1,1
6,14,0,3.0850551027564768,1.584962500721156,3.0,1,0.25,0,0,0,1,1
5,17,0,3.3371753411230767,3.2389012566026314,3.2389012566026314,0,0.3333333333333333,0,0,0,0,0
6,19,0,3.4713544870139303,3.375,3.375,0,0.25,0,0,0,0,0
5,16,0,3.125,3.09306920777189,3.09306920777189,0,0.35294117647058826,0,0,0,0,0
5,15,0,3.373557262275185,3.2516291673878226,3.2516291673878226,0,0.3125,0,0,0,0,0
5,19,0,3.326360407952695,3.327819531114783,3.327819531114783,0,0.25,0,0,0,0,0
5,12,0,3.2516291673878226,1.584962500721156,3.1219280948873616,0,0.2857142857142857,0,0,0,1,1
6,28,0,3.610577243331642,3.5434651896016467,3.5434651896016467,0,0.3793103448275862,0,0,0,0,0
8,30,0,3.788341339656749,1.9219280948873625,3.796217602590056,1,0.25,0,0,1,2,1
6,20,0,3.7464393446710162,3.640223928941852,3.640223928941852,0,0.2857142857142857,0,0,0,0,0
8,25,0,3.8035088547976788,3.2516291673878226,3.5766176449086675,0,0.14814814814814814,0,0,0,1,1
7,20,0,3.4464393446710155,3.3371753411230767,3.3371753411230767,0,0.2857142857142857,0,0,0,0,0
7,18,0,3.5724312513221195,3.5898980954642865,3.5898980954642865,0,0.21052631578947367,0,0,0,0,0
3,17,0,3.4548223999466066,3.026986833359288,3.026986833359288,0,0.6111111111111112,0,0,0,0,0
7,22,0,3.6069367321753214,3.576617644908667,3.576617644908667,0,0.17391304347826084,0,0,0,0,0
12,35,0,3.7150182662886335,2.7192945256669794,3.6194705707972514,0,0.1891891891891892,0,0,0,2,1
6,18,0,3.725480556997869,3.640223928941852,3.640223928941852,0,0.3684210526315789,0,0,0,0,0
5,17,0,3.4992275471326937,3.3787834934861767,3.3787834934861767,0,0.3333333333333333,0,0,0,0,0
5,19,0,3.4316235658474312,3.327819531114783,3.327819531114783,0,0.45,0,0,0,0,0
8,23,0,3.5383105956150063,2.8073549220576046,3.292770193936991,0,0.2,0,0,0,1,1
3,17,0,3.452819531114783,3.0957952550009344,3.0957952550009344,1,0.6111111111111112,0,0,0,0,1
7,19,1,3.5304930567574826,1.9219280948873625,3.180832987205441,1,0.19047619047619047,0,0,0,1,1
11,26,0,3.9736606896881854,3.734521664779752,3.8219280948873617,0,0.14285714285714285,0,0,1,1,1
5,17,0,3.4548223999466066,3.3248629576173565,3.3248629576173565,0,0.3888888888888889,0,0,0,0,0
9,24,0,3.5944656369614516,1.7924812503605778,3.09306920777189,0,0.15384615384615385,0,0,0,2,1
5,17,0,3.4104172527605203,3.3787834934861767,3.3787834934861767,0,0.3888888888888889,0,0,0,0,0
6,17,0,3.5,3.2776134368191165,3.2776134368191165,0,0.2222222222222222,0,0,0,0,0
6,19,0,3.5368867237421693,3.272905595320056,3.272905595320056,0,0.2,0,0,0,0,0
6,18,0,3.5304930567574826,3.4565647621309536,3.4565647621309536,0,0.21052631578947367,0,0,0,0,0
5,19,0,3.426367488473228,3.373557262275185,3.373557262275185,0,0.4,0,0,0,0,0
4,22,0,3.481714572986073,3.5110854081804286,3.5110854081804286,0,0.3043478260869565,0,0,0,0,1
5,15,0,3.32323142879762,3.2516291673878226,3.2516291673878226,0,0.25,0,0,0,0,0
10,25,1,3.8936606896881862,3.1898980954642875,3.788754913993503,1,0.1851851851851852,0,0,0,1,1
7,28,0,3.559900001923084,3.2866294867861967,3.413088436425757,0,0.2333333333333333,0,0,0,1,1
3,17,0,3.2195282822995486,3.09306920777189,3.09306920777189,0,0.4444444444444444,0,0,0,0,0
8,26,0,3.675310868912364,2.75,3.5,0,0.2857142857142857,0,0,0,2,1
